iter	Passed	Remaining
0	5	2571
1	10	2463
2	15	2582
3	20	2532
4	24	2429
5	29	2374
6	33	2349
7	37	2304
8	43	2333
9	47	2299
10	51	2244
11	55	2226
12	59	2217
13	64	2203
14	69	2214
15	73	2203
16	77	2166
17	80	2126
18	83	2087
19	87	2067
20	91	2057
21	94	2028
22	97	2006
23	101	1982
24	104	1967
25	107	1942
26	111	1921
27	114	1899
28	117	1882
29	122	1890
30	125	1870
31	128	1853
32	131	1835
33	135	1831
34	138	1817
35	141	1801
36	144	1787
37	147	1772
38	152	1781
39	155	1768
40	158	1756
41	161	1742
42	165	1731
43	169	1731
44	172	1719
45	175	1708
46	178	1698
47	181	1689
48	184	1678
49	187	1667
50	190	1657
51	193	1648
52	197	1645
53	200	1636
54	203	1627
55	206	1617
56	209	1607
57	213	1607
58	218	1611
59	223	1614
60	227	1616
61	233	1623
62	237	1622
63	240	1614
64	244	1613
65	248	1608
66	251	1599
67	254	1591
68	258	1591
69	261	1585
70	264	1578
71	267	1570
72	271	1563
73	275	1565
74	278	1558
75	281	1549
76	284	1541
77	288	1540
78	291	1533
79	295	1527
80	298	1520
81	301	1515
82	305	1511
83	308	1506
84	311	1500
85	314	1494
86	318	1488
87	321	1481
88	324	1476
89	327	1469
90	330	1463
91	334	1460
92	337	1455
93	340	1449
94	343	1443
95	346	1437
96	350	1432
97	353	1427
98	356	1421
99	359	1416
100	362	1410
101	365	1405
102	368	1399
103	371	1393
104	374	1388
105	377	1383
106	381	1380
107	384	1375
108	387	1370
109	390	1364
110	394	1361
111	397	1357
112	401	1352
113	404	1347
114	407	1342
115	410	1338
116	414	1335
117	417	1330
118	420	1324
119	423	1319
120	427	1316
121	430	1312
122	433	1307
123	436	1302
124	439	1298
125	442	1293
126	445	1288
127	448	1283
128	451	1278
129	455	1275
130	458	1270
131	461	1265
132	464	1261
133	467	1256
134	471	1252
135	473	1247
136	476	1242
137	479	1238
138	482	1233
139	486	1228
140	488	1224
141	492	1219
142	494	1214
143	497	1210
144	501	1206
145	504	1202
146	507	1197
147	510	1193
148	513	1188
149	516	1185
150	520	1181
151	523	1177
152	526	1172
153	529	1168
154	532	1165
155	536	1162
156	539	1157
157	542	1153
158	545	1149
159	549	1146
160	551	1140
161	554	1136
162	557	1132
163	560	1128
164	564	1126
165	568	1123
166	572	1120
167	575	1116
168	578	1111
169	582	1109
170	585	1105
171	587	1099
172	590	1095
173	594	1092
174	597	1089
175	601	1085
176	603	1081
177	606	1077
178	610	1073
179	613	1069
180	616	1066
181	619	1062
182	622	1058
183	625	1054
184	629	1050
185	632	1046
186	635	1042
187	638	1039
188	641	1035
189	644	1031
190	647	1027
191	651	1024
192	654	1020
193	657	1017
194	660	1013
195	663	1009
196	666	1005
197	670	1001
198	673	997
199	676	994
200	679	990
201	682	986
202	685	982
203	688	979
204	691	975
205	695	971
206	698	968
207	701	964
208	704	960
209	707	957
210	710	953
211	714	950
212	717	946
213	720	943
214	723	938
215	727	936
216	730	932
217	734	930
218	738	926
219	741	922
220	744	919
221	747	916
222	751	913
223	754	909
224	757	906
225	760	902
226	764	899
227	767	895
228	770	892
229	774	888
230	777	885
231	782	883
232	786	880
233	789	877
234	792	873
235	797	872
236	801	869
237	804	865
238	808	862
239	812	860
240	815	856
241	819	852
242	822	849
243	826	846
244	829	843
245	832	839
246	835	835
247	839	832
248	843	829
249	846	826
250	850	823
251	853	819
252	857	817
253	861	814
254	864	810
255	867	806
256	871	803
257	874	799
258	877	796
259	880	792
260	883	788
261	886	785
262	890	782
263	894	778
264	897	775
265	900	771
266	903	767
267	906	764
268	909	760
269	912	757
270	916	753
271	920	751
272	923	747
273	926	744
274	929	740
275	933	737
276	936	733
277	939	730
278	942	726
279	945	723
280	950	720
281	953	716
282	956	713
283	959	709
284	962	706
285	966	702
286	969	699
287	972	695
288	976	692
289	980	689
290	983	686
291	987	683
292	990	679
293	994	676
294	998	673
295	1002	670
296	1005	667
297	1010	664
298	1013	660
299	1016	657
300	1019	653
301	1023	650
302	1027	647
303	1030	643
304	1033	640
305	1036	636
306	1040	633
307	1043	630
308	1046	626
309	1049	623
310	1053	619
311	1055	615
312	1058	612
313	1061	608
314	1064	605
315	1068	601
316	1071	598
317	1074	594
318	1077	590
319	1080	587
320	1083	584
321	1088	581
322	1091	577
323	1094	574
324	1097	570
325	1101	567
326	1105	564
327	1108	561
328	1112	557
329	1115	554
330	1118	550
331	1121	547
332	1124	543
333	1127	540
334	1131	536
335	1135	533
336	1138	530
337	1141	526
338	1144	523
339	1148	520
340	1151	516
341	1154	513
342	1157	509
343	1160	506
344	1165	503
345	1168	499
346	1171	496
347	1174	492
348	1177	489
349	1181	486
350	1184	482
351	1187	479
352	1192	476
353	1196	473
354	1200	469
355	1203	466
356	1207	463
357	1211	460
358	1214	456
359	1217	453
360	1221	450
361	1224	446
362	1227	443
363	1231	439
364	1234	436
365	1237	432
366	1241	429
367	1244	425
368	1247	422
369	1250	418
370	1254	415
371	1257	412
372	1260	409
373	1264	405
374	1267	402
375	1270	398
376	1273	395
377	1277	391
378	1280	388
379	1284	385
380	1287	381
381	1289	378
382	1292	374
383	1295	371
384	1299	367
385	1303	364
386	1307	361
387	1310	357
388	1313	354
389	1317	351
390	1320	347
391	1323	344
392	1326	340
393	1330	337
394	1334	334
395	1337	330
396	1340	327
397	1343	324
398	1347	320
399	1350	317
400	1353	313
401	1356	310
402	1360	307
403	1363	303
404	1366	300
405	1369	296
406	1372	293
407	1377	290
408	1381	287
409	1385	283
410	1388	280
411	1392	277
412	1395	273
413	1398	270
414	1401	266
415	1404	263
416	1409	260
417	1413	257
418	1417	253
419	1420	250
420	1424	246
421	1427	243
422	1430	240
423	1433	236
424	1437	233
425	1440	229
426	1443	226
427	1446	223
428	1449	219
429	1453	216
430	1456	212
431	1460	209
432	1463	206
433	1466	202
434	1471	199
435	1474	196
436	1477	192
437	1480	189
438	1483	185
439	1487	182
440	1490	179
441	1493	175
442	1496	172
443	1501	169
444	1504	165
445	1507	162
446	1510	158
447	1514	155
448	1517	152
449	1520	148
450	1523	145
451	1526	141
452	1530	138
453	1534	135
454	1537	131
